ああ言う　　　　　　　　　　　　　　　　ああいう　　　　　　　　　　　　　　　　,R  .     ,
凝らす　　　　　　　　　　　　　　　　　こらす　　　　　　　　　　　　　　　　　,D S.   I ,
ご覧に入れる　　　　　　　　　　　　　　ごらんにいれる　　　　　　　　　　　　　,D 1.   I ,
ごり押しする　　　　　　　　　　　　　　ごりおしする　　　　　　　　　　　　　　,D 4.  NI ,
凝り固まる　　　　　　　　　　　　　　　こりかたまる　　　　　　　　　　　　　　,D R.   M ,
孤立化する　　　　　　　　　　　　　　　こりつかする　　　　　　　　　　　　　　,D 5.  NM ,
孤立する　　　　　　　　　　　　　　　　こりつする　　　　　　　　　　　　　　　,D 4.  NM ,
誤療する　　　　　　　　　　　　　　　　ごりょうする　　　　　　　　　　　　　　,D 4.  N  ,
顧慮する　　　　　　　　　　　　　　　　こりょする　　　　　　　　　　　　　　　,D 4.   I ,
懲りる　　　　　　　　　　　　　　　　　こりる　　　　　　　　　　　　　　　　　,D 1.  NM ,
ご臨幸する　　　　　　　　　　　　　　　ごりんこうする　　　　　　　　　　　　　,D 4.   M ,
凝る　　　　　　　　　　　　　　　　　　こる　　　　　　　　　　　　　　　　　　,D R.   I ,
孤塁を守る　　　　　　　　　　　　　　　こるいをまもる　　　　　　　　　　　　　,D R.  PI ,
コレクションする　　　　　　　　　　　　これくしょんする　　　　　　　　　　　　,D 4.     ,
ころあいを計る　　　　　　　　　　　　　ころあいをはかる　　　　　　　　　　　　,D R.  P  ,
転がす　　　　　　　　　　　　　　　　　ころがす　　　　　　　　　　　　　　　　,D S.   I ,
転がり込む　　　　　　　　　　　　　　　ころがりこむ　　　　　　　　　　　　　　,D M.     ,
転がる　　　　　　　　　　　　　　　　　ころがる　　　　　　　　　　　　　　　　,D R.   M ,
転げ落ちる　　　　　　　　　　　　　　　ころげおちる　　　　　　　　　　　　　　,D 1.  N  ,
転げ込む　　　　　　　　　　　　　　　　ころげこむ　　　　　　　　　　　　　　　,D M.     ,
転げ出る　　　　　　　　　　　　　　　　ころげでる　　　　　　　　　　　　　　　,D 1.     ,
転げる　　　　　　　　　　　　　　　　　ころげる　　　　　　　　　　　　　　　　,D 1.   M ,
殺し合いする　　　　　　　　　　　　　　ころしあいする　　　　　　　　　　　　　,D 4.  N  ,
殺す　　　　　　　　　　　　　　　　　　ころす　　　　　　　　　　　　　　　　　,D S.  NI ,
ゴロつく　　　　　　　　　　　　　　　　ごろつく　　　　　　　　　　　　　　　　,D K.  N  ,
ごろ寝する　　　　　　　　　　　　　　　ごろねする　　　　　　　　　　　　　　　,D 4.   I ,
転ばす　　　　　　　　　　　　　　　　　ころばす　　　　　　　　　　　　　　　　,D S.   I ,
転ぶ　　　　　　　　　　　　　　　　　　ころぶ　　　　　　　　　　　　　　　　　,D B.   M ,
衣替えする　　　　　　　　　　　　　　　ころもがえする　　　　　　　　　　　　　,D 4.   I ,
語呂を合わせる　　　　　　　　　　　　　ごろをあわせる　　　　　　　　　　　　　,D 1.     ,
声色を使う　　　　　　　　　　　　　　　こわいろをつかう　　　　　　　　　　　　,D W.  N  ,
声色をはげます　　　　　　　　　　　　　こわいろをはげます　　　　　　　　　　　,D S.  P  ,
怖がらす　　　　　　　　　　　　　　　　こわがらす　　　　　　　　　　　　　　　,D S.  NI ,
怖がる　　　　　　　　　　　　　　　　　こわがる　　　　　　　　　　　　　　　　,D R.  NI ,
子別れする　　　　　　　　　　　　　　　こわかれする　　　　　　　　　　　　　　,D 4.  NM ,
小脇に抱える　　　　　　　　　　　　　　こわきにかかえる　　　　　　　　　　　　,D 1.     ,
小脇に挟む　　　　　　　　　　　　　　　こわきにはさむ　　　　　　　　　　　　　,D M.     ,
小分けする　　　　　　　　　　　　　　　こわけする　　　　　　　　　　　　　　　,D 4.   I ,
壊す　　　　　　　　　　　　　　　　　　こわす　　　　　　　　　　　　　　　　　,D S.   I ,
ごわつく　　　　　　　　　　　　　　　　ごわつく　　　　　　　　　　　　　　　　,D K.  NM ,
強張る　　　　　　　　　　　　　　　　　こわばる　　　　　　　　　　　　　　　　,D R.  NM ,
壊れ物扱いする　　　　　　　　　　　　　こわれものあつかいする　　　　　　　　　,D 4.  NI ,
壊れる　　　　　　　　　　　　　　　　　こわれる　　　　　　　　　　　　　　　　,D 1.  NM ,
碁を打つ　　　　　　　　　　　　　　　　ごをうつ　　　　　　　　　　　　　　　　,D T.     ,
碁を囲む　　　　　　　　　　　　　　　　ごをかこむ　　　　　　　　　　　　　　　,D M.     ,
粉を吹く　　　　　　　　　　　　　　　　こをふく　　　　　　　　　　　　　　　　,D K.   M ,
子をもうける　　　　　　　　　　　　　　こをもうける　　　　　　　　　　　　　　,D 1.  P  ,
子を持って知る　　　　　　　　　　　　　こをもってしる　　　　　　　　　　　　　,D R.  P  ,
混一する　　　　　　　　　　　　　　　　こんいつする　　　　　　　　　　　　　　,D 4.   M ,
婚姻する　　　　　　　　　　　　　　　　こんいんする　　　　　　　　　　　　　　,D 4.   I ,
混獲する　　　　　　　　　　　　　　　　こんかくする　　　　　　　　　　　　　　,D 4.     ,
根が尽きる　　　　　　　　　　　　　　　こんがつきる　　　　　　　　　　　　　　,D 1.  N  ,
婚活する　　　　　　　　　　　　　　　　こんかつする　　　　　　　　　　　　　　,D 4.     ,
こんがらかる　　　　　　　　　　　　　　こんがらかる　　　　　　　　　　　　　　,D R.  NM ,
懇願する　　　　　　　　　　　　　　　　こんがんする　　　　　　　　　　　　　　,D 4.   I ,
根気負けする　　　　　　　　　　　　　　こんきまけする　　　　　　　　　　　　　,D 4.  NM ,
困却する　　　　　　　　　　　　　　　　こんきゃくする　　　　　　　　　　　　　,D 4.  NM ,
困窮する　　　　　　　　　　　　　　　　こんきゅうする　　　　　　　　　　　　　,D 4.  NM ,
勤行する　　　　　　　　　　　　　　　　ごんぎょうする　　　　　　　　　　　　　,D 4.     ,
こんぐらかる　　　　　　　　　　　　　　こんぐらかる　　　　　　　　　　　　　　,D R.  N  ,
根比べする　　　　　　　　　　　　　　　こんくらべする　　　　　　　　　　　　　,D 4.   I ,
コンクリートを打つ　　　　　　　　　　　こんくりーとをうつ　　　　　　　　　　　,D T.     ,
混血する　　　　　　　　　　　　　　　　こんけつする　　　　　　　　　　　　　　,D 4.   M ,
