急先鋒　　　　　　　　　　　　　　　　　きゅうせんぽう　　　　　　　　　　　　　,C  .     ,
教科書　　　　　　　　　　　　　　　　　きょうかしょ　　　　　　　　　　　　　　,N B.     ,
強行軍する　　　　　　　　　　　　　　　きょうこうぐんする　　　　　　　　　　　,D 4.     ,
橋頭堡　　　　　　　　　　　　　　　　　きょうとうほ　　　　　　　　　　　　　　,N 1.  P  ,
近似値　　　　　　　　　　　　　　　　　きんじち　　　　　　　　　　　　　　　　,N 1.     ,
金字塔　　　　　　　　　　　　　　　　　きんじとう　　　　　　　　　　　　　　　,N 1.  P  ,ピラミッド
食い道楽　　　　　　　　　　　　　　　　くいどうらく　　　　　　　　　　　　　　,C  .     ,
句読点　　　　　　　　　　　　　　　　　くとうてん　　　　　　　　　　　　　　　,N 1.     ,
くの字　　　　　　　　　　　　　　　　　くのじ　　　　　　　　　　　　　　　　　,N 1.     ,
車椅子　　　　　　　　　　　　　　　　　くるまいす　　　　　　　　　　　　　　　,N B.     ,
形而上　　　　　　　　　　　　　　　　　けいじじょう　　　　　　　　　　　　　　,N 1.     ,
下克上　　　　　　　　　　　　　　　　　げこくじょう　　　　　　　　　　　　　　,N 1.  N  ,
下手人　　　　　　　　　　　　　　　　　げしゅにん　　　　　　　　　　　　　　　,N 1.  N  ,
下世話　　　　　　　　　　　　　　　　　げせわ　　　　　　　　　　　　　　　　　,C  .  N  ,
下馬評　　　　　　　　　　　　　　　　　げばひょう　　　　　　　　　　　　　　　,N 1.     ,
原材料　　　　　　　　　　　　　　　　　げんざいりょう　　　　　　　　　　　　　,N 1.     ,
原産地　　　　　　　　　　　　　　　　　げんさんち　　　　　　　　　　　　　　　,N 1.     ,
原体験　　　　　　　　　　　　　　　　　げんたいけん　　　　　　　　　　　　　　,N 1.     ,
原動力　　　　　　　　　　　　　　　　　げんどうりょく　　　　　　　　　　　　　,N 1.     ,
好一対　　　　　　　　　　　　　　　　　こういっつい　　　　　　　　　　　　　　,C  .     ,
紅一点　　　　　　　　　　　　　　　　　こういってん　　　　　　　　　　　　　　,C  .     ,
考現学　　　　　　　　　　　　　　　　　こうげんがく　　　　　　　　　　　　　　,N 1.  P  ,
好好爺　　　　　　　　　　　　　　　　　こうこうや　　　　　　　　　　　　　　　,N 1.  P  ,
硬骨漢　　　　　　　　　　　　　　　　　こうこつかん　　　　　　　　　　　　　　,N 1.     ,
甲子園　　　　　　　　　　　　　　　　　こうしえん　　　　　　　　　　　　　　　,N 7.     ,
降水帯　　　　　　　　　　　　　　　　　こうすいたい　　　　　　　　　　　　　　,N 7.  N  ,
好事家　　　　　　　　　　　　　　　　　こうずか　　　　　　　　　　　　　　　　,N 1.  P  ,
甲板員　　　　　　　　　　　　　　　　　こうはんいん　　　　　　　　　　　　　　,N 4.  P  ,
極秘裏　　　　　　　　　　　　　　　　　ごくひり　　　　　　　　　　　　　　　　,C  .     ,
心意気　　　　　　　　　　　　　　　　　こころいき　　　　　　　　　　　　　　　,N 1.  N  ,
小細工　　　　　　　　　　　　　　　　　こざいく　　　　　　　　　　　　　　　　,N 1.  N  ,
後日談　　　　　　　　　　　　　　　　　ごじつだん　　　　　　　　　　　　　　　,N 1.     ,
枯損木　　　　　　　　　　　　　　　　　こそんぼく　　　　　　　　　　　　　　　,N 1.     ,
御法度　　　　　　　　　　　　　　　　　ごはっと　　　　　　　　　　　　　　　　,N 1.     ,
