文明の利器　　　　　　　　　　　　　　　ぶんめいのりき　　　　　　　　　　　　　,N B.  P  ,
へその緒　　　　　　　　　　　　　　　　へそのお　　　　　　　　　　　　　　　　,N B.     ,
偏見の目　　　　　　　　　　　　　　　　へんけんのめ　　　　　　　　　　　　　　,N 1.  N  ,
末期の水　　　　　　　　　　　　　　　　まつごのみず　　　　　　　　　　　　　　,N  .     ,
松の内　　　　　　　　　　　　　　　　　まつのうち　　　　　　　　　　　　　　　,N 8.     ,
みどりの窓口　　　　　　　　　　　　　　みどりのまどぐち　　　　　　　　　　　　,N 5.     ,
水面　　　　　　　　　　　　　　　　　　みなも　　　　　　　　　　　　　　　　　,N  .     ,
身の内　　　　　　　　　　　　　　　　　みのうち　　　　　　　　　　　　　　　　,N 1.     ,
身の危険　　　　　　　　　　　　　　　　みのきけん　　　　　　　　　　　　　　　,N 1.  N  ,
身の丈　　　　　　　　　　　　　　　　　みのたけ　　　　　　　　　　　　　　　　,N 1.     ,
身の程　　　　　　　　　　　　　　　　　みのほど　　　　　　　　　　　　　　　　,N 1.     ,
虫の息　　　　　　　　　　　　　　　　　むしのいき　　　　　　　　　　　　　　　,C  .  N  ,
虫の居所　　　　　　　　　　　　　　　　むしのいどころ　　　　　　　　　　　　　,N  .     ,
虫の知らせ　　　　　　　　　　　　　　　むしのしらせ　　　　　　　　　　　　　　,N 1.     ,
結びの一番　　　　　　　　　　　　　　　むすびのいちばん　　　　　　　　　　　　,N  .  N  ,
胸の内　　　　　　　　　　　　　　　　　むねのうち　　　　　　　　　　　　　　　,N  .     ,
冥土の土産　　　　　　　　　　　　　　　めいどのみやげ　　　　　　　　　　　　　,C  .     ,
目の前　　　　　　　　　　　　　　　　　めのまえ　　　　　　　　　　　　　　　　,C  .  N  ,
もぬけの殻　　　　　　　　　　　　　　　もぬけのから　　　　　　　　　　　　　　,C  .  N  ,
諸刃の剣　　　　　　　　　　　　　　　　もろはのつるぎ　　　　　　　　　　　　　,N  .     ,
文殊の知恵　　　　　　　　　　　　　　　もんじゅのちえ　　　　　　　　　　　　　,N  .  P  ,
山の日　　　　　　　　　　　　　　　　　やまのひ　　　　　　　　　　　　　　　　,N 8.     ,
